Country,Indicator,Gender,Age,Poverty_Rating,Residence,Maternal_Education,Year,Observation_Value
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2012-01-01,62.7
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2017-01-01,63.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Rich,Suburban,No education,2003-01-01,54.8
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Rich,Suburban,No education,2007-01-01,56.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Rich,Suburban,No education,2012-01-01,58.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Rich,Suburban,No education,2017-01-01,55.9
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Rural,No education,2003-01-01,81.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Rural,No education,2007-01-01,72.5
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Rural,No education,2012-01-01,71.8
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Rural,No education,2017-01-01,72.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Urban,No education,2003-01-01,66.7
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Urban,No education,2007-01-01,62.1
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Urban,No education,2012-01-01,62.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Urban,No education,2017-01-01,62.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2003-01-01,84.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2007-01-01,74.7
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2012-01-01,75.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2017-01-01,76.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2003-01-01,66.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2007-01-01,65.8
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2012-01-01,66.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2017-01-01,66.9
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2003-01-01,65.1
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2007-01-01,63.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2012-01-01,63.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Secondary education,2017-01-01,64.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Tertiary education,2003-01-01,57.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Tertiary education,2007-01-01,51.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Tertiary education,2012-01-01,51.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Tertiary education,2017-01-01,54.7
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,88.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,75.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,76.5
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,64.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2003-01-01,83.8
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2007-01-01,74.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2012-01-01,75.5
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,Primary education,2017-01-01,77.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,74.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,68.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,67.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,67.3
Indonesia,Continued breastfeeding (12-23 months), Total, 14 to 15 months old,Poor,Suburban,No education,2003-01-01,80.0
Indonesia,Continued breastfeeding (12-23 months), Total, 14 to 15 months old,Poor,Suburban,No education,2007-01-01,77.8
Indonesia,Continued breastfeeding (12-23 months), Total, 14 to 15 months old,Poor,Suburban,No education,2012-01-01,77.6
Indonesia,Continued breastfeeding (12-23 months), Total, 14 to 15 months old,Poor,Suburban,No education,2017-01-01,75.3
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 17 months old,Poor,Suburban,No education,2003-01-01,75.2
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 17 months old,Poor,Suburban,No education,2007-01-01,76.8
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 17 months old,Poor,Suburban,No education,2012-01-01,68.8
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 17 months old,Poor,Suburban,No education,2017-01-01,71.1
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 19 months old,Poor,Suburban,No education,2003-01-01,75.9
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 19 months old,Poor,Suburban,No education,2007-01-01,72.4
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 19 months old,Poor,Suburban,No education,2012-01-01,68.6
Indonesia,Continued breastfeeding (12-23 months), Total, 16 to 19 months old,Poor,Suburban,No education,2017-01-01,69.5
Indonesia,Continued breastfeeding (12-23 months), Total, 18 to 19 months old,Poor,Suburban,No education,2003-01-01,76.6
Indonesia,Continued breastfeeding (12-23 months), Total, 18 to 19 months old,Poor,Suburban,No education,2007-01-01,68.9
Indonesia,Continued breastfeeding (12-23 months), Total, 18 to 19 months old,Poor,Suburban,No education,2012-01-01,68.5
Indonesia,Continued breastfeeding (12-23 months), Total, 18 to 19 months old,Poor,Suburban,No education,2017-01-01,67.8
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2003-01-01,64.6
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2007-01-01,54.3
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2012-01-01,55.4
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2017-01-01,57.9
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2003-01-01,58.7
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2007-01-01,50.3
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2012-01-01,55.3
Indonesia,Continued breastfeeding (12-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2017-01-01,54.6
Indonesia,Continued breastfeeding (12-23 months), Total, 22 to 23 months old,Poor,Suburban,No education,2003-01-01,51.8
Indonesia,Continued breastfeeding (12-23 months), Total, 22 to 23 months old,Poor,Suburban,No education,2007-01-01,46.6
Indonesia,Continued breastfeeding (12-23 months), Total, 22 to 23 months old,Poor,Suburban,No education,2012-01-01,55.3
Indonesia,Continued breastfeeding (12-23 months), Total, 22 to 23 months old,Poor,Suburban,No education,2017-01-01,51.2
Indonesia,Continued breastfeeding (20-23 months), Female, 20 to 23 months old,Poor,Suburban,No education,2003-01-01,61.9
Indonesia,Continued breastfeeding (20-23 months), Female, 20 to 23 months old,Poor,Suburban,No education,2007-01-01,52.7
Indonesia,Continued breastfeeding (20-23 months), Female, 20 to 23 months old,Poor,Suburban,No education,2012-01-01,53.6
Indonesia,Continued breastfeeding (20-23 months), Female, 20 to 23 months old,Poor,Suburban,No education,2017-01-01,56.0
Indonesia,Continued breastfeeding (20-23 months), Male, 20 to 23 months old,Poor,Suburban,No education,2003-01-01,56.0
Indonesia,Continued breastfeeding (20-23 months), Male, 20 to 23 months old,Poor,Suburban,No education,2007-01-01,48.0
Indonesia,Continued breastfeeding (20-23 months), Male, 20 to 23 months old,Poor,Suburban,No education,2012-01-01,56.8
Indonesia,Continued breastfeeding (20-23 months), Male, 20 to 23 months old,Poor,Suburban,No education,2017-01-01,53.3
Indonesia,Continued breastfeeding (20-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,58.7
Indonesia,Continued breastfeeding (20-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,50.3
Indonesia,Continued breastfeeding (20-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,55.3
Indonesia,Continued breastfeeding (20-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,54.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2003-01-01,64.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2007-01-01,54.3
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2012-01-01,55.4
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 21 months old,Poor,Suburban,No education,2017-01-01,57.9
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2003-01-01,58.9
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2007-01-01,56.1
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2012-01-01,57.2
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2017-01-01,61.0
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2003-01-01,70.9
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2007-01-01,53.7
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2012-01-01,53.8
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2017-01-01,54.4
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2003-01-01,62.8
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2007-01-01,52.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2012-01-01,63.9
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2017-01-01,63.5
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2003-01-01,62.0
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2007-01-01,44.2
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2012-01-01,53.1
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Middle Class,Suburban,No education,2017-01-01,49.8
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Rich,Suburban,No education,2003-01-01,38.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Rich,Suburban,No education,2007-01-01,44.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Rich,Suburban,No education,2012-01-01,49.3
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Rich,Suburban,No education,2017-01-01,45.2
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Rural,No education,2003-01-01,65.3
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Rural,No education,2007-01-01,54.4
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Rural,No education,2012-01-01,57.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Rural,No education,2017-01-01,58.4
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Urban,No education,2003-01-01,52.0
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Urban,No education,2007-01-01,44.0
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Urban,No education,2012-01-01,53.1
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Urban,No education,2017-01-01,50.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Primary education,2003-01-01,71.5
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Primary education,2007-01-01,60.7
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Primary education,2012-01-01,64.0
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Primary education,2017-01-01,64.3
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2003-01-01,48.9
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2007-01-01,43.1
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2012-01-01,54.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2017-01-01,54.5
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2003-01-01,47.8
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2007-01-01,41.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2012-01-01,51.6
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Secondary education,2017-01-01,51.7
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Tertiary education,2003-01-01,39.2
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Tertiary education,2007-01-01,34.8
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Tertiary education,2012-01-01,38.0
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,Tertiary education,2017-01-01,42.0
Indonesia,Continued breastfeeding (20-23 months), Total, 20 to 23 months old,Poor,Suburban,No education,2003-01-01,74.1
